"metadata__language","metadata__transactionId","metadata__version","metadata__fromDate","metadata__toDate","metadata__station","metadata__status_code","metadata__message","actualWeatherData__date","actualWeatherData__time","actualWeatherData__temperature","actualWeatherData__relativeHumidity"
"","","","","","","","","2022-01-25","22:30:00","20.7","61.0"
"","","","","","","","","2022-01-25","22:45:00","20.4","58.0"
"","","","","","","","","2022-01-25","23:00:00","20.2","59.0"
"","","","","","","","","2022-01-25","23:15:00","20.3","60.0"
"","","","","","","","","2022-01-25","23:30:00","20.1","70.0"
"","","","","","","","","2022-01-25","23:45:00","20.1","70.0"
"","","","","","","","","2022-01-26","00:00:00","20.0","72.0"
"","","","","","","","","2022-01-26","00:15:00","19.3","78.0"
"","","","","","","","","2022-01-26","00:30:00","18.7","79.0"
"","","","","","","","","2022-01-26","00:45:00","18.4","73.0"
"","","","","","","","","2022-01-26","01:00:00","18.9","63.0"
"","","","","","","","","2022-01-26","01:15:00","19.0","57.0"
"","","","","","","","","2022-01-26","01:30:00","18.9","58.0"
"","","","","","","","","2022-01-26","01:45:00","19.0","57.0"
"","","","","","","","","2022-01-26","02:00:00","19.0","56.0"
"","","","","","","","","2022-01-26","02:15:00","18.9","52.0"
"","","","","","","","","2022-01-26","02:30:00","19.3","47.0"
"","","","","","","","","2022-01-26","02:45:00","19.4","46.0"
"","","","","","","","","2022-01-26","03:00:00","19.1","47.0"
"","","","","","","","","2022-01-26","03:15:00","18.7","51.0"
"","","","","","","","","2022-01-26","03:30:00","18.4","52.0"
"","","","","","","","","2022-01-26","03:45:00","18.2","53.0"
"","","","","","","","","2022-01-26","04:00:00","17.8","57.0"
"","","","","","","","","2022-01-26","04:15:00","17.7","55.0"
"","","","","","","","","2022-01-26","04:30:00","18.2","53.0"
"","","","","","","","","2022-01-26","04:45:00","18.5","50.0"
"","","","","","","","","2022-01-26","05:00:00","18.7","50.0"
"","","","","","","","","2022-01-26","05:15:00","18.9","49.0"
"","","","","","","","","2022-01-26","05:30:00","18.8","48.0"
"","","","","","","","","2022-01-26","05:45:00","18.6","50.0"
"","","","","","","","","2022-01-26","06:15:00","18.6","50.0"
"","","","","","","","","2022-01-26","06:30:00","18.4","56.0"
